TS1,TS2,TS3,TS4,TS5
0.0148107,-0.0347692,0.0020602,0.0037702,0.0053023
0.0024377,-0.0433164,-0.0037879,-0.0013590,-0.0246969
0.0052124,0.0458872,-0.0230731,0.0027237,0.0036652
0.0030011,0.0292636,-0.0047459,0.0009920,0.0143564
0.0038579,-0.0161455,0.0092328,-0.0021747,-0.0227539
-0.0002750,-0.0023988,0.0013062,0.0051977,0.0059555
-0.0048205,0.0090283,-0.0002924,-0.0054101,0.0119783
0.0021969,0.0180077,0.0007984,-0.0024688,0.0094462
0.0001071,-0.0002235,0.0068467,0.0087765,0.0000000
-0.0001360,-0.0213633,0.0059111,0.0074886,0.0040942
0.0133703,-0.0237535,0.0016477,0.0001871,0.0180519
-0.0059740,0.0401572,-0.0128364,0.0019135,-0.0003344
-0.0004404,-0.0011446,0.0052145,-0.0024673,-0.0053664
-0.0039503,-0.0143117,0.0040554,-0.0033969,-0.0053954
0.0094605,-0.0304985,0.0011736,0.0020935,-0.0350974
0.0063396,0.0031058,-0.0085482,0.0120031,-0.0130421
0.0052052,0.0455594,-0.0110549,0.0022194,0.0097097
-0.0048086,0.0070794,0.0081194,-0.0026935,0.0012290
0.0170643,0.0024370,0.0072107,0.0007999,0.0036781
0.0061656,0.0003959,0.0088967,0.0020414,-0.0035026
0.0059662,0.0609459,-0.0009351,-0.0025672,-0.0021075
-0.0197313,0.0063379,0.0200596,0.0094959,0.0106672
0.0211630,-0.0099960,0.0189566,0.0020451,0.0186116
-0.0054492,0.0079752,0.0085438,0.0025085,0.0101920
-0.0031346,-0.0083618,0.0108297,-0.0036589,-0.0088271
0.0074338,0.0105982,0.0034033,0.0013993,-0.0010235
0.0058250,-0.0105829,0.0064909,0.0007318,0.0138985
-0.0177674,-0.0043186,0.0044232,0.0011990,-0.0106609
0.0292206,0.0522780,-0.0064476,0.0061334,-0.0175052
-0.0157129,-0.0165695,0.0174230,0.0002614,0.0070733
0.0168441,-0.0067123,0.0045368,0.0035078,0.0100916
-0.0125325,-0.0524502,0.0092027,0.0049508,0.0089793
0.0018004,0.0117209,-0.0160441,-0.0084876,0.0018536
0.0140170,-0.0288282,-0.0019566,0.0004283,0.0083823
-0.0162134,0.0243384,-0.0164541,0.0000073,0.0056601
